entry,exit,Sharpe
1.5,2.25,
1.5,2.5,
1.5,2.75,
1.5,3.0,
1.75,2.25,0.5654616871932646
1.75,2.5,0.737804234501104
1.75,2.75,0.7961390991619318
1.75,3.0,0.8131713400118536
2.0,2.25,0.4666053989452394
2.0,2.5,0.8263172684056197
2.0,2.75,0.9005670343831426
2.0,3.0,0.9402876523967495
2.25,2.5,0.9100785038127216
2.25,2.75,0.9143706224418995
2.25,3.0,0.9820454845525445
2.5,2.75,0.8734680599244102
2.5,3.0,0.8229343927732663
