Strategy,2021,2022,2023,2024,2025,2026
Buy & Hold,-0.24919484702093408,0.1997319034852556,-0.43821229050279265,0.44510739856801873,0.014588494357280268,-0.2129679869777551
50/200 DMA,-0.2022946859903384,-0.04098486007034596,0.0,0.0,-0.1448452144277198,-0.25234441602728097
Bollinger Mean Reversion,-0.11915680374634008,0.10994831671208338,0.1256875785801581,0.18285618022888528,-0.13868097258185663,-0.03003941454618908
$2 Contrarian,0.0,0.0,0.0,0.9361458504145497,0.0,0.0
