entry,exit,final_value,total_return,CAGR,MDD,Sharpe,trades,win_rate,avg_trade,median_trade,best_trade,worst_trade,open_at_end
1.5,2.25,10000.0,0.0,0.0,0.0,,0,,,,,,0
1.5,2.5,10000.0,0.0,0.0,0.0,,0,,,,,,0
1.5,2.75,10000.0,0.0,0.0,0.0,,0,,,,,,0
1.5,3.0,10000.0,0.0,0.0,0.0,,0,,,,,,0
1.75,2.25,13821.770334928218,0.38217703349282184,0.0668824802020358,-0.15431783341849803,0.5654616871932646,1,1.0,0.38217703349282295,0.38217703349282295,0.38217703349282295,0.38217703349282295,0
1.75,2.5,15747.607655502381,0.574760765550238,0.09508622837784753,-0.15431783341849803,0.737804234501104,1,1.0,0.5747607655502394,0.5747607655502394,0.5747607655502394,0.5747607655502394,0
1.75,2.75,16459.330143540654,0.6459330143540654,0.10481193494251251,-0.15431783341849803,0.7961390991619318,1,1.0,0.6459330143540669,0.6459330143540669,0.6459330143540669,0.6459330143540669,0
1.75,3.0,18528.70813397127,0.8528708133971272,0.13129628837549934,-0.15431783341849803,0.8131713400118536,1,1.0,0.8528708133971292,0.8528708133971292,0.8528708133971292,0.8528708133971292,0
2.0,2.25,13417.93022690367,0.34179302269036715,0.06057308664357497,-0.19877986781901358,0.4666053989452394,2,1.0,0.15847415109673613,0.15847415109673613,0.17488561260803248,0.14206268958543977,0
2.0,2.5,19361.458504145496,0.9361458504145497,0.1412885782185762,-0.19877986781901358,0.8263172684056197,2,1.0,0.39249859794804365,0.39249859794804365,0.44641051567239654,0.33858668022369076,0
2.0,2.75,19932.362237793135,0.9932362237793135,0.14794202914410226,-0.19877986781901358,0.9005670343831426,2,1.0,0.41187814305093695,0.41187814305093695,0.42467138523761383,0.3990849008642601,0
2.0,3.0,25519.890118193845,1.5519890118193844,0.20610995283031364,-0.23973063973064002,0.9402876523967495,2,1.0,0.5976554247202193,0.5976554247202193,0.6203235591506573,0.5749872902897812,0
2.25,2.5,25987.197825859454,1.5987197825859454,0.21049569022480208,-0.2823315118397087,0.9100785038127216,5,1.0,0.2117772325003775,0.19899817850637525,0.32208872458410354,0.15576323987538943,0
2.25,2.75,26712.120825781094,1.6712120825781094,0.21717593801274782,-0.2823315118397086,0.9143706224418995,4,1.0,0.2785483784673096,0.2793938927116497,0.30221811460258774,0.2531876138433513,0
2.25,3.0,37070.181500342514,2.7070181500342514,0.29963238155259675,-0.2823315118397084,0.9820454845525445,4,1.0,0.390170928552589,0.41298355305556156,0.48105360443622924,0.25366300366300365,0
2.5,2.75,28895.404846846417,1.8895404846846415,0.2364551712487255,-0.35673469387755097,0.8734680599244102,8,1.0,0.14204076351292647,0.13457048563908647,0.1870355078447563,0.1131474103585659,0
2.5,3.0,30706.41766791998,2.070641766791998,0.2515816064155407,-0.3567346938775513,0.8229343927732663,5,1.0,0.25447380556658883,0.2944264943457189,0.3129644921552437,0.09083665338645419,0
