entry,exit,final_value
1.5,2.25,10000.0
1.5,2.5,10000.0
1.5,2.75,10000.0
1.5,3.0,10000.0
1.75,2.25,13821.770334928218
1.75,2.5,15747.607655502381
1.75,2.75,16459.330143540654
1.75,3.0,18528.70813397127
2.0,2.25,13417.93022690367
2.0,2.5,19361.458504145496
2.0,2.75,19932.362237793135
2.0,3.0,25519.890118193845
2.25,2.5,25987.197825859454
2.25,2.75,26712.120825781094
2.25,3.0,37070.181500342514
2.5,2.75,28895.404846846417
2.5,3.0,30706.41766791998
