Strategy,Final Value,Total Return,CAGR,Max Drawdown,Sharpe,Completed Trades,Open Trades,Avg Trade Return,Median Trade Return,Worst Trade,Best Trade
Buy & Hold,5839.371980676327,-0.4160628019323672,-0.10201965505391208,-0.8371900826446277,0.22812642164329558,0,1,,,,
50/200 DMA,4891.186923119721,-0.5108813076880279,-0.13328892216890897,-0.6308309706504012,-0.11001398507585738,4,0,-0.16011729412892128,-0.17356995020902877,-0.2523444160272805,-0.04098486007034707
Bollinger Mean Reversion,10876.002696148458,0.0876002696148459,0.016938899110167993,-0.41974331254673825,0.2270166630335631,17,0,0.01322238021695427,0.014544456641053749,-0.2388294524858401,0.2345263157894737
$2 Contrarian,19361.458504145496,0.9361458504145497,0.1412885782185762,-0.19877986781901358,0.8645708156998045,2,0,0.39249859794804365,0.39249859794804365,0.33858668022369076,0.44641051567239654
