entry_threshold,exit_threshold,trades,total_pnl,compound_trade_return,top_1_pnl,top_2_pnl,top_3_pnl,top_1_contribution,top_2_contribution,top_3_contribution,largest_trade_return,smallest_trade_return,median_trade_return,mean_trade_return
1.75,2.25,1,3821.7703349282287,0.38217703349282295,3821.7703349282287,3821.7703349282287,3821.7703349282287,1.0,,,0.3821770334928229,0.3821770334928229,0.3821770334928229,0.3821770334928229
1.75,2.5,1,5747.607655502394,0.5747607655502394,5747.607655502394,5747.607655502394,5747.607655502394,1.0,,,0.5747607655502394,0.5747607655502394,0.5747607655502394,0.5747607655502394
1.75,2.75,1,6459.330143540669,0.6459330143540669,6459.330143540669,6459.330143540669,6459.330143540669,1.0,,,0.6459330143540669,0.6459330143540669,0.6459330143540669,0.6459330143540669
1.75,3.0,1,8528.708133971293,0.8528708133971292,8528.708133971293,8528.708133971293,8528.708133971293,1.0,,,0.8528708133971292,0.8528708133971292,0.8528708133971292,0.8528708133971292
2.0,2.25,2,3417.9302269036643,0.3417930226903667,1748.856126080324,3417.9302269036643,3417.9302269036643,0.5116711020940382,1.0,,0.1748856126080324,0.1420626895854397,0.15847415109673604,0.15847415109673604
2.0,2.5,2,9361.458504145497,0.9361458504145499,5975.591701908591,9361.458504145497,9361.458504145497,0.6383184521153882,1.0,,0.4464105156723965,0.3385866802236907,0.3924985979480436,0.3924985979480436
2.0,2.75,2,9932.36223779315,0.9932362237793151,5941.513229150549,9932.36223779315,9932.36223779315,0.598197396239012,1.0,,0.4246713852376138,0.3990849008642601,0.41187814305093695,0.41187814305093695
2.0,3.0,2,15519.890118193878,1.551989011819388,9770.017215296066,15519.890118193878,15519.890118193878,0.6295158754921035,1.0,,0.6203235591506573,0.5749872902897812,0.5976554247202193,0.5976554247202193
2.25,2.5,5,15987.197825859485,1.598719782585949,6331.030019092646,9593.371580641111,12116.980556109505,0.3960062349921091,0.6000658580157003,0.7579177219231092,0.3220887245841035,0.1557632398753894,0.1989981785063752,0.21177723250037744
2.25,2.75,4,16712.12082578114,1.6712120825781143,6199.335351334586,10343.63357945678,13919.08053274085,0.3709484520822224,0.6189300381014513,0.8328733784205548,0.3022181146025877,0.2531876138433513,0.2793938927116497,0.2785483784673096
2.25,3.0,4,27070.181500342536,2.707018150034254,12040.580013059776,19328.088257581738,24533.5514637125,0.44479125538583547,0.7139992119128262,0.9062943099735797,0.4810536044362292,0.2536630036630036,0.41298355305556156,0.390170928552589
2.5,2.75,8,18895.404846846497,1.8895404846846504,3889.1817249173023,6924.0036935829485,9548.97848098991,0.20582685348318314,0.3664384938933189,0.5053598246974615,0.1870355078447563,0.1131474103585659,0.13457048563908644,0.14204076351292644
2.5,3.0,5,20706.41766792005,2.0706417667920056,6984.392661439537,12045.806002073372,16384.119741541337,0.3373056978494299,0.5817426362811008,0.7912580536286996,0.3129644921552437,0.0908366533864541,0.2944264943457189,0.25447380556658883
