trade_id,entry_threshold,exit_threshold,entry_date,entry_contract,entry_price,exit_signal_date,exit_date,exit_contract,exit_price,holding_days,trade_return,status,is_closed,entry_year,exit_year,entry_month,exit_month,win,loss,breakeven,capital_before,capital_after,dollar_pnl,cumulative_return
25,2.25,3.0,2024-07-16,NGQ4,2.164,2024-11-20,2024-11-21,NGZ4,3.205,128,0.4810536044362292,CLOSED,True,2024,2024,2024-07,2024-11,True,False,False,25029.60148728276,37070.181500342536,12040.580013059776,2.7070181500342545
26,2.5,2.75,2023-02-02,NGH3,2.51,2023-03-01,2023-03-02,NGJ3,2.794,28,0.1131474103585659,CLOSED,True,2023,2023,2023-02,2023-03,True,False,False,10000.0,11131.474103585659,1131.4741035856591,0.1131474103585659
27,2.5,2.75,2023-03-13,NGJ3,2.422,2023-06-26,2023-06-27,NGQ3,2.875,106,0.1870355078447563,CLOSED,True,2023,2023,2023-03,2023-06,True,False,False,11131.474103585659,13213.455015610556,2081.980912024897,0.32134550156105557
28,2.5,2.75,2023-08-03,NGU3,2.479,2023-08-08,2023-08-09,NGU3,2.792,6,0.1262605889471559,CLOSED,True,2023,2023,2023-08,2023-08,True,False,False,13213.455015610556,14881.793627908295,1668.3386122977397,0.48817936279082974
29,2.5,2.75,2023-08-24,NGU3,2.473,2023-08-30,2023-08-31,NGV3,2.797,7,0.1310149615851195,CLOSED,True,2023,2023,2023-08,2023-08,True,False,False,14881.793627908295,16831.531248386378,1949.7376204780815,0.683153124838638
30,2.5,2.75,2023-12-12,NGF4,2.443,2024-01-04,2024-01-05,NGG4,2.824,24,0.1559557920589438,CLOSED,True,2023,2024,2023-12,2024-01,True,False,False,16831.531248386378,19456.50603579334,2624.974787406961,0.9456506035793342
31,2.5,2.75,2024-01-23,NGG4,2.437,2024-05-20,2024-05-21,NGM4,2.752,119,0.1292572835453427,CLOSED,True,2024,2024,2024-01,2024-05,True,False,False,19456.50603579334,21971.401153263552,2514.895117470211,1.1971401153263552
32,2.5,2.75,2024-07-02,NGQ4,2.476,2024-09-24,2024-09-25,NGX4,2.818,85,0.1381260096930534,CLOSED,True,2024,2024,2024-07,2024-09,True,False,False,21971.401153263552,25006.223121929197,3034.8219686656457,1.5006223121929199
33,2.5,2.75,2024-10-15,NGX4,2.469,2024-10-28,2024-10-29,NGZ4,2.853,14,0.155528554070474,CLOSED,True,2024,2024,2024-10,2024-10,True,False,False,25006.223121929197,28895.4048468465,3889.1817249173023,1.8895404846846504
34,2.5,3.0,2023-02-02,NGH3,2.51,2023-03-03,2023-03-06,NGJ3,2.738,32,0.0908366533864541,CLOSED,True,2023,2023,2023-02,2023-03,True,False,False,10000.0,10908.36653386454,908.366533864541,0.09083665338645419
35,2.5,3.0,2023-03-13,NGJ3,2.422,2023-10-05,2023-10-06,NGX3,3.18,207,0.3129644921552437,CLOSED,True,2023,2023,2023-03,2023-10,True,False,False,10908.36653386454,14322.297926378713,3413.931392514172,0.4322297926378713
36,2.5,3.0,2023-12-12,NGF4,2.443,2024-01-09,2024-01-10,NGG4,3.183,29,0.3029062627916494,CLOSED,True,2023,2024,2023-12,2024-01,True,False,False,14322.297926378713,18660.611665846678,4338.313739467965,0.866061166584668
37,2.5,3.0,2024-01-23,NGG4,2.437,2024-06-11,2024-06-12,NGN4,3.098,141,0.2712351251538778,CLOSED,True,2024,2024,2024-01,2024-06,True,False,False,18660.611665846678,23722.025006480515,5061.413340633836,1.3722025006480516
38,2.5,3.0,2024-07-02,NGQ4,2.476,2024-11-20,2024-11-21,NGZ4,3.205,142,0.2944264943457189,CLOSED,True,2024,2024,2024-07,2024-11,True,False,False,23722.025006480515,30706.417667920054,6984.392661439537,2.070641766792005
