entry,exit,total_return
1.5,2.25,0.0
1.5,2.5,0.0
1.5,2.75,0.0
1.5,3.0,0.0
1.75,2.25,0.38217703349282184
1.75,2.5,0.574760765550238
1.75,2.75,0.6459330143540654
1.75,3.0,0.8528708133971272
2.0,2.25,0.34179302269036715
2.0,2.5,0.9361458504145497
2.0,2.75,0.9932362237793135
2.0,3.0,1.5519890118193844
2.25,2.5,1.5987197825859454
2.25,2.75,1.6712120825781094
2.25,3.0,2.7070181500342514
2.5,2.75,1.8895404846846415
2.5,3.0,2.070641766791998
