entry,exit,CAGR
1.5,2.25,0.0
1.5,2.5,0.0
1.5,2.75,0.0
1.5,3.0,0.0
1.75,2.25,0.0668824802020358
1.75,2.5,0.09508622837784753
1.75,2.75,0.10481193494251251
1.75,3.0,0.13129628837549934
2.0,2.25,0.06057308664357497
2.0,2.5,0.1412885782185762
2.0,2.75,0.14794202914410226
2.0,3.0,0.20610995283031364
2.25,2.5,0.21049569022480208
2.25,2.75,0.21717593801274782
2.25,3.0,0.29963238155259675
2.5,2.75,0.2364551712487255
2.5,3.0,0.2515816064155407
