top_n,events_included,timing_effect_pnl,share_of_total_timing_effect
1,1,1380.0000000000014,0.3719676549865239
3,3,3520.000000000001,0.948787061994611
5,5,5480.000000000003,1.4770889487870653
10,10,8160.000000000002,2.1994609164420527
