entry,exit,MDD
1.5,2.25,0.0
1.5,2.5,0.0
1.5,2.75,0.0
1.5,3.0,0.0
1.75,2.25,-0.15431783341849803
1.75,2.5,-0.15431783341849803
1.75,2.75,-0.15431783341849803
1.75,3.0,-0.15431783341849803
2.0,2.25,-0.19877986781901358
2.0,2.5,-0.19877986781901358
2.0,2.75,-0.19877986781901358
2.0,3.0,-0.23973063973064002
2.25,2.5,-0.2823315118397087
2.25,2.75,-0.2823315118397086
2.25,3.0,-0.2823315118397084
2.5,2.75,-0.35673469387755097
2.5,3.0,-0.3567346938775513
