year,50/50,12M,excess,decade
1968,0.10986175079729454,0.07579369270969716,-0.034068058087597386,1960
1969,-0.1252884368953846,-0.12105319092810163,0.0042352459672829745,1960
1970,0.03505919028492244,0.18497071073447469,0.14991152044955225,1970
1971,0.09499300295686641,0.06837552709658246,-0.026617475860283957,1970
1972,0.30633400159976687,0.06405679980099266,-0.2422772017987742,1970
1973,0.1744477277898353,0.8923097863460243,0.717862058556189,1970
1974,0.10581628155608702,0.4437653188528832,0.33794903729679615,1970
1975,0.06476460654454552,-0.20037270301476873,-0.26513730955931425,1970
1976,0.04137323408897986,0.06953604898796928,0.02816281489898942,1970
1977,0.017117845658662034,-0.09314818166457217,-0.1102660273232342,1970
1978,0.16461993002723285,0.4264775134805461,0.2618575834533132,1970
1979,0.5152326756916312,0.9721636679716621,0.45693099228003087,1970
1980,0.1880457869258203,0.2661084935542226,0.07806270662840231,1980
1981,-0.20969537212352418,-0.255015180913833,-0.045319808790308835,1980
1982,0.11037077633346182,0.09264399975148607,-0.017726776581975745,1980
1983,0.033014074814220695,0.1098628899682157,0.076848815153995,1980
1984,-0.08016581817642277,-0.1386960388210543,-0.058530220644631537,1980
1985,0.1801327286134542,0.23839003821580906,0.05825730960235487,1980
1986,0.17315842833942163,0.18683933597486324,0.013680907635441608,1980
1987,0.15168220919994568,0.562858673873484,0.4111764646735383,1980
1988,-0.04221315532876335,-0.033209244117973435,0.009003911210789917,1980
1989,0.09157789620554357,0.061050262724053894,-0.03052763348148968,1980
1990,-0.032998726816433566,-0.14275820168712128,-0.10975947487068771,1990
1991,0.08312208812505384,0.28916159721094603,0.2060395090858922,1990
1992,0.011586111147626088,0.042383047725303324,0.030796936577677236,1990
1993,0.16005982860899626,0.10539503760020397,-0.05466479100879229,1990
1994,-0.026522487392992455,0.0028266465023520926,0.029349133895344548,1990
1995,0.1613963803281553,0.23101136629393837,0.06961498596578308,1990
1996,0.08907190674109278,0.023699233708597056,-0.06537267303249572,1990
1997,0.022130948978021703,0.056714767535997135,0.03458381855797543,1990
1998,0.07959948977639497,0.16470142576991775,0.08510193599352278,1990
1999,0.10838313711604841,0.1549567924055706,0.046573655289522176,1990
2000,-0.07671107188161697,-0.1684412873060861,-0.09173021542446913,2000
2001,-0.03853202137288736,-0.07496029144074556,-0.036428270067858204,2000
2002,0.01885728511857221,-0.13830315244380387,-0.15716043756237608,2000
2003,0.21504280988949986,0.28263284437679825,0.06759003448729839,2000
2004,0.08223225746753737,0.03766304356320438,-0.044569213904332994,2000
2005,0.09829008390329852,0.2190551810946868,0.12076509719138828,2000
2006,0.13577119594461284,0.08359526328610545,-0.052175932658507396,2000
2007,0.12180968644861712,0.0843253370027417,-0.03748434944587542,2000
2008,-0.16778950417173644,-0.3755809049636738,-0.20779140079193736,2000
2009,0.2609371491021253,0.2855246882856721,0.024587539183546836,2000
2010,0.14191810686787765,0.19122814529828536,0.04931003843040771,2010
2011,0.06490527661390377,0.23290327247002618,0.1679979958561224,2010
2012,0.030797633172394256,0.10880584737758503,0.07800821420519077,2010
2013,-0.058730250102133175,-0.08527197316077673,-0.02654172305864355,2010
2014,0.0782492915663231,0.17545997532272573,0.09721068375640263,2010
2015,-0.050256095381545185,-0.011256646202572163,0.03899944917897302,2010
2016,0.09331448602130754,-0.042171672370885704,-0.13548615839219325,2010
2017,0.14047063243471225,0.1225124267405775,-0.017958205694134755,2010
2018,-0.05583423052332792,-0.04073814951249344,0.015096081010834483,2010
2019,0.23399340095400234,0.2000210226240684,-0.03397237832993394,2010
2020,0.22103109909459362,0.18084125754470892,-0.0401898415498847,2020
2021,0.11727345280638879,0.06614310172477267,-0.05113035108161612,2020
2022,-0.05330857053907834,0.06563935300039381,0.11894792353947214,2020
2023,0.1455341684052176,0.17164578372500494,0.02611161531978734,2020
2024,0.2380690844122344,0.2941208775085009,0.05605179309626651,2020
2025,0.2251461009539346,0.2785601148322252,0.05341401387829059,2020
2026,0.06225096994601054,-0.03423490029723808,-0.09648587024324862,2020
