date,Gold,S&P,50/50,12M,3M,A,B
1968,0.10741276068552374,0.10941958248851513,0.10986175079729699,0.07579369270969405,0.2415060352330931,0.07579369270969405,0.21547692793587503
1969,-0.16205250596658782,-0.08478597799519805,-0.1252884368953856,-0.12105319092810507,-0.11282471299393826,-0.12105319092810507,-0.12134923983684331
1970,0.06107907006815094,0.004844815588855855,0.03505919028492488,0.1849707107344707,0.1255432866189854,0.1849707107344707,-0.056826891168442195
1971,0.16680885247172506,0.0683755270965769,0.09499300295686797,0.0683755270965769,0.15595929936849662,0.0683755270965769,0.0784030401947935
1972,0.48767908309455676,0.14438062279359998,0.3063340015997731,0.06405679980098622,0.3780976030215777,0.06405679980098622,0.08975001247064607
1973,0.7295839753466882,-0.17335658473009574,0.17444772778983486,0.8923097863460114,0.22021906690395787,0.8923097863460114,0.2640720628470743
1974,0.6444292159214209,-0.27499680193108766,0.10581628155608613,0.4437653188528765,0.2537601204470117,0.4437653188528765,0.4494590647976511
1975,-0.2530292069166067,0.3537896833466718,0.06476460654454574,-0.20037270301477328,0.03938939213331327,-0.20037270301477328,-0.03732293589745472
1976,-0.05457068217501837,0.18537670106177173,0.04137323408897964,0.0695360489879624,-0.01143372662249742,0.0695360489879624,0.3535682059036136
1977,0.18620881004800238,-0.12293356504789033,0.017117845658663144,-0.09314818166457806,0.037125547110217205,-0.09314818166457806,0.026054978829122
1978,0.37011215519854446,0.012494411478211953,0.16461993002723352,0.4264775134805374,0.07824985776503945,0.4264775134805374,0.19931036049753414
1979,1.0933628318584088,0.12193156416100459,0.5152326756916363,0.9721636679716501,0.584587072871855,0.9721636679716501,0.8377369427505754
1980,0.06959973660693142,0.21917996958062136,0.18804578692582052,0.2661084935542166,0.15036774948337728,0.2661084935542166,0.26374783101775434
1981,-0.32563317620888654,-0.08584213869796475,-0.2096953721235224,-0.25501518091383746,-0.35256160136699255,-0.25501518091383746,-0.36634966373446276
1982,0.11965901125633982,0.14603650807331903,0.1103707763334627,0.0926439997514783,0.06267922947544768,0.0926439997514783,0.022951446739556625
1983,-0.13518255673077484,0.17891016177647745,0.03301407481422225,0.10986288996820948,0.0546911528059979,0.10986288996820948,-0.1372557897069845
1984,-0.1903531052932006,0.023723098003349152,-0.08016581817642554,-0.13869603882105996,-0.15198962412640415,-0.13869603882105996,-0.22479262401252986
1985,0.06000648718780255,0.25982565885184816,0.18013272861345642,0.23839003821580462,0.3054281708650348,0.23839003821580462,0.040684273315290786
1986,0.18863964016550683,0.18683933597485836,0.17315842833942408,0.18683933597485836,0.10895006064897728,0.18683933597485836,0.2721260688888403
