date,gold_usd,silver_usd,gold_silver_ratio,relative_fwd_21,relative_fwd_63,relative_fwd_126,relative_fwd_252,p10,p20,p80,p90,regime,period
1973-04-16,89.3,2.211,40.388964269561285,-0.10771172134846485,-0.03883666266043284,0.20132388044507188,0.08340360702848382,18.25845920808677,19.5528951486698,32.357089865746616,35.626125944743144,Extreme High,
1973-04-17,90.25,2.164,41.705175600739366,-0.07008412655337137,0.006769038560990426,0.2134274786099406,0.27299783411247236,18.260081558676937,19.55555555555556,32.3594674556213,35.626992561105205,Extreme High,
1973-04-18,91.0,2.11,43.127962085308056,-0.051148377688662094,0.1089604708088121,0.28396437685537235,0.37529295349200575,18.264094323311337,19.55715162676489,32.37646605573659,35.62923708051693,Extreme High,
1973-04-19,90.75,2.119,42.82680509674374,-0.06284085871369771,0.04084649316104971,0.25655924295076526,0.49155807939968543,18.268107087945733,19.55874769797422,32.38181648364845,35.70091298797229,Extreme High,
1973-04-24,90.8,2.095,43.34128878281622,-0.05118254076729811,0.07786080767087555,0.2828919285481477,0.6802871321480766,18.272119852580133,19.56034376918355,32.38544202498958,35.722283359843004,Extreme High,
1973-04-25,90.15,2.136,42.20505617977528,-0.10221104650800483,0.057166738332492084,0.25345787607420833,0.577376501087451,18.276132617214532,19.561939840392878,32.390783096414715,35.751181447220375,Extreme High,
1973-04-26,90.55,2.126,42.59172154280338,-0.05290965163760908,0.06574279788041437,0.2561226912154375,0.7596861554221019,18.280145381848932,19.56353591160221,32.394797245600614,35.76954980609465,Extreme High,
1973-04-27,90.6,2.128,42.575187969924805,-0.06375209547046423,0.04426733223787904,0.2519201563511426,0.6854097163438395,18.28415814648333,19.563872207542637,32.40930770782659,35.773064145157164,Extreme High,
1973-04-30,90.725,2.147,42.2566371681416,-0.06662895017277237,0.06763120096957409,0.2692786964399372,0.619800671581191,18.288170911117728,19.564208503483066,32.41589281518486,35.78832672359071,Extreme High,
1973-05-01,90.7,2.147,42.24499301350723,-0.07699032880422352,0.016743447049779592,0.2530417304934096,0.7501667668894165,18.292183675752128,19.56454479942349,32.43284474415712,35.81806945989371,Extreme High,
1973-05-02,90.6,2.115,42.83687943262411,-0.06704476069700838,0.02902634916161717,0.24889624724061776,0.681857748970613,18.296196440386524,19.56488109536392,32.45795115297419,35.85465876157826,Extreme High,
1973-05-03,90.3,2.119,42.61444077394997,-0.1194330470974787,0.07490265002035557,0.2576261185905926,0.6828481120819538,18.300209205020924,19.565217391304348,32.468495181616014,35.96594245449207,Extreme High,
1973-05-04,90.3,2.187,41.289437585733886,-0.14523452536659542,0.04121758442746115,0.21102497846683899,0.643778473522947,18.305880108418204,19.566041735362006,32.48300384915743,35.97729129638754,Extreme High,
1973-05-07,90.3,2.192,41.19525547445255,-0.18128137352377727,0.02150627268391636,0.21914229534964536,0.6493657597141722,18.31155101181548,19.566866079419665,32.49352203716315,35.97864646580172,Extreme High,
1973-05-08,91.4,2.222,41.13411341134114,-0.15158441445895132,0.01445166398477915,0.21259850273867653,0.5595644903658858,18.31722191521276,19.567690423477323,32.49936888186936,36.05293054203104,Extreme High,
1973-05-09,92.75,2.276,40.75131810193322,-0.16573266571608558,-0.013857952903614024,0.20438040919189593,0.6023548193027917,18.32289281861004,19.56851476753498,32.50329208022828,36.090707327023196,Extreme High,
1973-05-10,94.8,2.339,40.53014108593416,-0.14781146329979822,-0.03572179138187015,0.19411988606332176,0.5742259305159441,18.328563722007317,19.56933911159264,32.51146788990825,36.105498628950784,Extreme High,
1973-05-11,96.7,2.362,40.93988145639289,-0.17017592403682236,-0.024075612923337264,0.2044461295573572,0.5773707626877471,18.334234625404598,19.574735469141256,32.51822983296173,36.13319483180015,Extreme High,
1973-05-14,102.25,2.374,43.070766638584665,-0.07145461324083446,0.07983183757206724,0.23743673825860023,0.7216802648084482,18.339905528801875,19.580131826689872,32.521750669603364,36.16698324728194,Extreme High,
1973-05-15,110.0,2.466,44.6066504460665,-0.05342291528422938,0.14734203347342034,0.26391285113912843,0.9294311730443117,18.345576432199152,19.585528184238488,32.528209269524105,36.19175617528153,Extreme High,
1973-05-16,106.5,2.384,44.67281879194631,-0.06426056338028174,0.1821454453792105,0.27124885780004404,0.8317574912562624,18.351247335596433,19.590924541787103,32.53721465883494,36.21351647722792,Extreme High,
1973-05-17,104.25,2.343,44.49423815620999,-0.06537151840627375,0.19221805654068302,0.2629918600331004,0.8886596228778818,18.35691823899371,19.59632089933572,32.541806020066886,36.22987229317046,Extreme High,
1973-05-18,105.5,2.378,44.365012615643394,-0.05150092275559137,0.12167817952080495,0.3113433168977874,0.8560062819127943,18.357094270364396,19.598095118603243,32.54532218963966,36.23452150570442,Extreme High,
1973-05-21,112.0,2.489,44.99799116110888,-0.04290305917465398,0.13530964816621704,0.3029858161625437,0.7986494145669516,18.35727030173508,19.599869337870768,32.54942014139986,36.24320946179321,Extreme High,
1973-05-22,110.5,2.447,45.157335512872905,-0.02838085974699811,0.10140776313040067,0.31852559325575514,0.757126188314438,18.35744633310577,19.60164355713829,32.55466846214603,36.277871332994465,Extreme High,
1973-05-23,109.75,2.425,45.25773195876289,-0.020404386727097767,0.1478298851654415,0.33376887490313056,0.7535692647300569,18.357622364476455,19.603417776405813,32.56017516393256,36.30028536915384,Extreme High,
1973-05-24,110.0,2.388,46.06365159128978,0.003966803715547362,0.14822597837673201,0.36194609410689815,0.636683417085427,18.35779839584714,19.605191995673337,32.56358768406961,36.32188840933023,Extreme High,
1973-05-25,106.5,2.388,44.59798994974874,-0.05426191992827989,0.12903720480335956,0.3259489937952674,0.6650565031731428,18.357974427217826,19.60572222398965,32.57454549380317,36.35584081862087,Extreme High,
1973-05-29,110.0,2.448,44.93464052287582,-0.018226381461675434,0.1385992275698158,0.32755941770647645,0.5877450980392156,18.35815045858851,19.606252452305963,32.590078711673286,36.39004472961834,Extreme High,
1973-05-30,113.25,2.537,44.63933780055184,-0.025547721535839063,0.09507935969288095,0.3089637601902441,0.44719171711212713,18.3583264899592,19.606782680622274,32.599104446818444,36.408781258837315,Extreme High,
1973-05-31,114.75,2.551,44.98235985887887,-0.02899371343118906,0.07589983508539089,0.3079803810543773,0.5807872345331702,18.358502521329886,19.60731290893859,32.60120644149759,36.4161925165803,Extreme High,
1973-06-01,117.75,2.607,45.1668584579977,0.006538007666766932,0.1120892061793457,0.276221051114222,0.5560165062704769,18.35867855270057,19.6078431372549,32.60663507109005,36.416992733370606,Extreme High,
1973-06-04,123.5,2.645,46.69187145557656,0.026890550500141552,0.1434177999892854,0.26811874823018,0.5321950360851964,18.359439209397216,19.609390599416955,32.61097152735557,36.436627608507955,Extreme High,
1973-06-05,126.0,2.734,46.08632040965618,0.018012447602791526,0.12454860022526448,0.2732942604010635,0.4910736057407601,18.360199866093858,19.61093806157901,32.62751750924872,36.46370840014439,Extreme High,
1973-06-06,121.5,2.552,47.60971786833856,0.04525620186539703,0.1600577937742691,0.3144923049137609,0.6369844679231651,18.360960522790503,19.61248552374106,32.638892327352764,36.471736623937794,Extreme High,
1973-06-07,118.5,2.544,46.58018867924528,0.027326645967677532,0.11328914895310882,0.3006279356739112,0.6024102380383725,18.361721179487144,19.614032985903116,32.64448524665414,36.47519306887272,Extreme High,
1973-06-08,117.25,2.5,46.9,0.046173134328358234,0.1390132196162046,0.31821321961620463,0.6797739872068229,18.36248183618379,19.61558044806517,32.660455486542446,36.496018274730446,Extreme High,
1973-06-11,115.5,2.504,46.126198083067095,0.03450582963362536,0.12229091462318298,0.2989761835608481,0.7151048365904598,18.363242492880435,19.616808156702263,32.70294536866527,36.527866752082005,Extreme High,
1973-06-12,117.25,2.462,47.62388302193338,0.0687464384010088,0.16184945066936396,0.3072605522925005,0.730335210335695,18.364003149577076,19.61803586533936,32.71761104372437,36.550213356170296,Extreme High,
1973-06-13,115.5,2.512,45.97929936305732,0.06066120715802237,0.12153610720489694,0.2931642402183803,0.5534611354675048,18.36476380627372,19.61926357397645,32.722540779724035,36.56576774903687,Extreme High,
1973-06-14,117.75,2.508,46.94976076555024,0.09042147929174416,0.14758378285029305,0.3153577342313514,0.6794258373205742,18.365524462970363,19.620491282613546,32.726911103506964,36.60316015225848,Extreme High,
1973-06-15,120.0,2.533,47.3746545598105,0.10861067245690226,0.1602406566653506,0.351191110672457,0.6431553493880777,18.36628511966701,19.62171899125064,32.730986800754245,36.64249860568879,Extreme High,
1973-06-18,122.5,2.6,47.11538461538461,0.13147566718995296,0.15968602825745692,0.32371271585557304,0.5950549450549447,18.367196039876962,19.62342195754646,32.73238354633704,36.64404784036685,Extreme High,
1973-06-19,120.25,2.588,46.4644513137558,0.11906544518600148,0.12972555244579964,0.3123115803950425,0.5901682802764718,18.36810696008692,19.62512492384228,32.75035115760923,36.66950333617,Extreme High,
1973-06-20,120.0,2.56,46.875,0.17252604166666663,0.1713541666666668,0.28593749999999996,0.5879687499999999,18.369017880296877,19.626827890138102,32.76749428498857,36.69870795143721,Extreme High,
1973-06-21,120.5,2.599,46.363986148518656,0.11401049557841414,0.1550433537316458,0.2853275837019984,0.5398174209997781,18.36992880050683,19.628530856433922,32.778295570196576,36.72044315057416,Extreme High,
1973-06-22,120.0,2.602,46.118370484242895,0.1260969126313093,0.1780153087368691,0.31457212400717405,0.5730928132205997,18.370839720716788,19.630233822729743,32.78911564625851,36.74026590693258,Extreme High,
1973-06-25,118.5,2.582,45.89465530596437,0.13574568499217254,0.18312759219131491,0.28895011553533556,0.5664777574052104,18.37175064092674,19.631861593593136,32.79856386999244,36.76287542649622,Extreme High,
1973-06-26,123.25,2.634,46.79195140470767,0.1478789614974103,0.21037886523708538,0.33899421051902046,0.5013907691739017,18.3726615611367,19.63348936445653,32.80344521865088,36.79221981456703,Extreme High,
1973-06-27,122.25,2.676,45.68385650224215,0.1065756050143516,0.19160545452878108,0.31027217621759406,0.5109035553476939,18.373572481346653,19.635117135319923,32.80517685755408,36.82498178711522,Extreme High,
