image_name,min_component_area,dice,iou,precision,recall,foreground_ratio,target_foreground_ratio
cju34aozyyy830993bn16u32n.jpg,0,0.7425055635554392,0.5904642931501145,0.697354185108685,0.7939085157605957,0.310272216796875,0.2725372314453125
cju34aozyyy830993bn16u32n.jpg,50,0.7425250039273185,0.5904888814857999,0.6973884817783899,0.7939085157605957,0.3102569580078125,0.2725372314453125
cju34aozyyy830993bn16u32n.jpg,100,0.7425250039273185,0.5904888814857999,0.6973884817783899,0.7939085157605957,0.3102569580078125,0.2725372314453125
cju34aozyyy830993bn16u32n.jpg,200,0.7425250039273185,0.5904888814857999,0.6973884817783899,0.7939085157605957,0.3102569580078125,0.2725372314453125
cju34aozyyy830993bn16u32n.jpg,500,0.7425250039273185,0.5904888814857999,0.6973884817783899,0.7939085157605957,0.3102569580078125,0.2725372314453125
cju40m0rjkpw80871z6n6yg1u.jpg,0,0.5443872347834738,0.3739917976760082,0.42667758412289936,0.751786205001374,0.3913421630859375,0.22210693359375
cju40m0rjkpw80871z6n6yg1u.jpg,50,0.5448208906922904,0.3744012590666484,0.4272106187780597,0.751786205001374,0.3908538818359375,0.22210693359375
cju40m0rjkpw80871z6n6yg1u.jpg,100,0.5448208906922904,0.3744012590666484,0.4272106187780597,0.751786205001374,0.3908538818359375,0.22210693359375
cju40m0rjkpw80871z6n6yg1u.jpg,200,0.5448208906922904,0.3744012590666484,0.4272106187780597,0.751786205001374,0.3908538818359375,0.22210693359375
cju40m0rjkpw80871z6n6yg1u.jpg,500,0.5490442024986203,0.37840174279885197,0.4324270923891567,0.751786205001374,0.386138916015625,0.22210693359375
cju77j66ez52p08019xygi0co.jpg,0,0.30972067039106144,0.18323638286620836,0.18455392809587218,0.9625,0.1718902587890625,0.032958984375
cju77j66ez52p08019xygi0co.jpg,50,0.30972067039106144,0.18323638286620836,0.18455392809587218,0.9625,0.1718902587890625,0.032958984375
cju77j66ez52p08019xygi0co.jpg,100,0.30972067039106144,0.18323638286620836,0.18455392809587218,0.9625,0.1718902587890625,0.032958984375
cju77j66ez52p08019xygi0co.jpg,200,0.30972067039106144,0.18323638286620836,0.18455392809587218,0.9625,0.1718902587890625,0.032958984375
cju77j66ez52p08019xygi0co.jpg,500,0.30972067039106144,0.18323638286620836,0.18455392809587218,0.9625,0.1718902587890625,0.032958984375
cju8c1a0ws7o208181c6lbsom.jpg,0,0.5905842678585767,0.4190277250284846,0.7572928821470245,0.48403088532069843,0.2223052978515625,0.347808837890625
cju8c1a0ws7o208181c6lbsom.jpg,50,0.5907423767836586,0.4191869300911854,0.7578130366096573,0.48403088532069843,0.2221527099609375,0.347808837890625
cju8c1a0ws7o208181c6lbsom.jpg,100,0.5907423767836586,0.4191869300911854,0.7578130366096573,0.48403088532069843,0.2221527099609375,0.347808837890625
cju8c1a0ws7o208181c6lbsom.jpg,200,0.5907423767836586,0.4191869300911854,0.7578130366096573,0.48403088532069843,0.2221527099609375,0.347808837890625
cju8c1a0ws7o208181c6lbsom.jpg,500,0.5907423767836586,0.4191869300911854,0.7578130366096573,0.48403088532069843,0.2221527099609375,0.347808837890625
cju1expq45zst0855rjqwwj4m.jpg,0,0.7797418630751964,0.6389974706829156,0.8259034712315739,0.7384672619047619,0.2567138671875,0.287109375
cju1expq45zst0855rjqwwj4m.jpg,50,0.7796391390970059,0.6388595079328582,0.8258724213780394,0.7383078231292517,0.2566680908203125,0.287109375
cju1expq45zst0855rjqwwj4m.jpg,100,0.7796391390970059,0.6388595079328582,0.8258724213780394,0.7383078231292517,0.2566680908203125,0.287109375
cju1expq45zst0855rjqwwj4m.jpg,200,0.7796391390970059,0.6388595079328582,0.8258724213780394,0.7383078231292517,0.2566680908203125,0.287109375
cju1expq45zst0855rjqwwj4m.jpg,500,0.7796391390970059,0.6388595079328582,0.8258724213780394,0.7383078231292517,0.2566680908203125,0.287109375
cju2r11x7sdgx0988o8ule0wl.jpg,0,0.6260623229461756,0.4556701030927835,0.46236668877889475,0.9691945662637715,0.2990264892578125,0.1426544189453125
cju2r11x7sdgx0988o8ule0wl.jpg,50,0.6260623229461756,0.4556701030927835,0.46236668877889475,0.9691945662637715,0.2990264892578125,0.1426544189453125
cju2r11x7sdgx0988o8ule0wl.jpg,100,0.6260623229461756,0.4556701030927835,0.46236668877889475,0.9691945662637715,0.2990264892578125,0.1426544189453125
cju2r11x7sdgx0988o8ule0wl.jpg,200,0.6260623229461756,0.4556701030927835,0.46236668877889475,0.9691945662637715,0.2990264892578125,0.1426544189453125
cju2r11x7sdgx0988o8ule0wl.jpg,500,0.6260623229461756,0.4556701030927835,0.46236668877889475,0.9691945662637715,0.2990264892578125,0.1426544189453125
cju3x4blzieu30850x10uuvbm.jpg,0,0.36841423948220064,0.22580133291018725,0.2664794007490637,0.5966457023060797,0.1629638671875,0.072784423828125
cju3x4blzieu30850x10uuvbm.jpg,50,0.36841423948220064,0.22580133291018725,0.2664794007490637,0.5966457023060797,0.1629638671875,0.072784423828125
cju3x4blzieu30850x10uuvbm.jpg,100,0.36841423948220064,0.22580133291018725,0.2664794007490637,0.5966457023060797,0.1629638671875,0.072784423828125
cju3x4blzieu30850x10uuvbm.jpg,200,0.36841423948220064,0.22580133291018725,0.2664794007490637,0.5966457023060797,0.1629638671875,0.072784423828125
cju3x4blzieu30850x10uuvbm.jpg,500,0.36841423948220064,0.22580133291018725,0.2664794007490637,0.5966457023060797,0.1629638671875,0.072784423828125
cju7b5afm1nfw0801xqm8bf8q.jpg,0,0.6627838104639684,0.4956444706924553,0.5361763296597988,0.867666063582321,0.0955352783203125,0.0590362548828125
