threshold,dice,iou,precision,recall,foreground_ratio,dice_drop_from_best,dice_relative_drop_pct,is_within_0.50_0.60,is_within_0.45_0.65
0.1,0.5828088496871703,0.4457280916755329,0.4939597239409385,0.8841080899209184,0.3161869303385416,0.05380086057715128,8.451152992123394,False,False
0.15,0.6078258245758674,0.4705665365850378,0.538180922048145,0.8543322710323609,0.2756797281901041,0.028783885688454136,4.521433654617522,False,False
0.2,0.6187170124343156,0.4811878729349554,0.5619852912417642,0.8355078310260975,0.25559814453125,0.01789269783000591,2.810622826123219,False,False
0.25,0.6248027540613036,0.4872125952416827,0.5781388353307,0.8206222100682679,0.2424355061848958,0.011806956203017971,1.8546616573152332,False,False
0.3,0.6289921997640529,0.4914961721345092,0.5913791705684633,0.8074016853700887,0.2320843505859375,0.007617510500268709,1.1965746637929704,False,False
0.35,0.6320867335084711,0.4945965140338809,0.6029639771158178,0.7954113519534587,0.2232101440429687,0.00452297675585045,0.7104787569093945,False,False
0.4,0.6343406715456468,0.4968207941677584,0.6137364327723248,0.7838512170297582,0.2152420043945312,0.0022690387186747873,0.3564254019519555,False,False
0.45,0.6355777679676365,0.4981561105580788,0.6239280684432074,0.7719625915403439,0.20787841796875,0.0010319422966850178,0.16209967897859323,False,True
0.5,0.6365430584237541,0.499275343585622,0.6340656129250264,0.7606182127674875,0.200995381673177,6.665184056742213e-05,0.010469812114513326,True,True
0.55,0.6366097102643216,0.4995141384373778,0.6437129652210128,0.7485175685988131,0.1942432657877604,0.0,0.0,True,True
0.6,0.6360809896901033,0.49911638843584,0.6535404014580355,0.7357282651486343,0.1874383544921875,0.0005287205742182666,0.08305254627654687,True,True
0.65,0.6344138236785966,0.49753355381388,0.6639718587885759,0.7209911395056018,0.1802372233072916,0.0021958865857250043,0.3449345101590216,False,True
0.7,0.6319077935312359,0.4950824486748904,0.675833992224828,0.703775586549772,0.1723365275065104,0.00470191673308562,0.7385870270708526,False,False
0.75,0.6284189149630703,0.4916100444944942,0.6909988363695257,0.6824379122712281,0.1626127115885416,0.008190795301251219,1.2866274530827349,False,False
0.8,0.6223437143719645,0.4856620682547011,0.7114047418763596,0.653294003836063,0.15022216796875,0.014265995892357108,2.2409328136754056,False,False
0.85,0.6108659330256444,0.4749227718639128,0.7324298428303225,0.6127498048613459,0.1342457071940104,0.025743777238677157,4.0438869881498185,False,False
0.9,0.5836530073311607,0.4513278534947657,0.7552521905011566,0.5498424679941688,0.1137148030598958,0.052956702933160904,8.31855092363784,False,False
