threshold,dice,iou,precision,recall,foreground_ratio
0.1,0.5828088496871703,0.4457280916755329,0.4939597239409385,0.8841080899209184,0.31618693033854167
0.15,0.6078258245758674,0.47056653658503783,0.538180922048145,0.8543322710323609,0.27567972819010417
0.2,0.6187170124343156,0.48118787293495546,0.5619852912417642,0.8355078310260975,0.25559814453125
0.25,0.6248027540613036,0.4872125952416827,0.5781388353307,0.8206222100682679,0.24243550618489584
0.3,0.6289921997640529,0.4914961721345092,0.5913791705684633,0.8074016853700887,0.2320843505859375
0.35,0.6320867335084711,0.4945965140338809,0.6029639771158178,0.7954113519534587,0.22321014404296874
0.4,0.6343406715456468,0.4968207941677584,0.6137364327723248,0.7838512170297582,0.21524200439453126
0.45,0.6355777679676365,0.49815611055807885,0.6239280684432074,0.7719625915403439,0.20787841796875
0.5,0.6365430584237541,0.49927534358562203,0.6340656129250264,0.7606182127674875,0.20099538167317707
0.55,0.6366097102643216,0.4995141384373778,0.6437129652210128,0.7485175685988131,0.1942432657877604
0.6,0.6360809896901033,0.49911638843584,0.6535404014580355,0.7357282651486343,0.1874383544921875
0.65,0.6344138236785966,0.49753355381388,0.6639718587885759,0.7209911395056018,0.18023722330729167
0.7,0.6319077935312359,0.4950824486748904,0.675833992224828,0.703775586549772,0.1723365275065104
0.75,0.6284189149630703,0.4916100444944942,0.6909988363695257,0.6824379122712281,0.16261271158854165
0.8,0.6223437143719645,0.4856620682547011,0.7114047418763596,0.653294003836063,0.15022216796875
0.85,0.6108659330256444,0.4749227718639128,0.7324298428303225,0.6127498048613459,0.1342457071940104
0.9,0.5836530073311607,0.45132785349476573,0.7552521905011566,0.5498424679941688,0.11371480305989583
