image_name,dice,iou,precision,recall,foreground_ratio,target_foreground_ratio,fg_ratio_error,failure_mode
cju5jz5fff8c50871hbe6108f.jpg,0.958318231243204,0.9199721642310368,0.9533326465437312,0.9633562356860296,0.1481170654296875,0.146575927734375,0.0015411376953125,mixed_or_reasonable
cju8doa16u5gh0818w1ywda3q.jpg,0.2797663187975908,0.1626327410366943,1.0,0.1626327410366943,0.118011474609375,0.7256317138671875,-0.6076202392578125,under_segmentation
cju7ea4om2l910801bohqjccy.jpg,0.4997703261368856,0.3331292100428659,0.3355953115360888,0.9784172661870504,0.1731414794921875,0.05938720703125,0.1137542724609375,over_segmentation
cju2wve9v7esz0878mxsdcy04.jpg,0.4681548745112877,0.3056150172896427,0.305942470947004,0.996510067114094,0.1851348876953125,0.0568389892578125,0.1282958984375,over_segmentation
ck2bxiswtxuw80838qkisqjwz.jpg,0.3437362181233299,0.2075371217342271,0.7468154661255777,0.2232443725569483,0.1353607177734375,0.45281982421875,-0.3174591064453125,under_segmentation
cju2yb31a8e8u0878wdashg7o.jpg,0.7169671888856045,0.5588065891026379,0.625169147496617,0.8403637938501516,0.2368011474609375,0.1761627197265625,0.060638427734375,mixed_or_reasonable
cju2lberzkdzm09938cl40pog.jpg,0.7786244626807347,0.6374980003199489,0.7204845416742,0.8469713071200851,0.2531890869140625,0.2153778076171875,0.037811279296875,mixed_or_reasonable
cju42qet0lsq90871e50xbnuv.jpg,0.6966323601484282,0.534486463257413,0.5434782608695652,0.969974653928641,0.139678955078125,0.0782623291015625,0.0614166259765625,mixed_or_reasonable
cju6z7e4bwgdd0987ogkzq9kt.jpg,0.687876460363019,0.5242467188366504,0.5745930978591207,0.856797583081571,0.2259368896484375,0.151519775390625,0.0744171142578125,mixed_or_reasonable
cju3umoh1geet0817cmpef5am.jpg,0.6049802938015049,0.4336715037883652,0.4480265339966832,0.9312008823934924,0.2300262451171875,0.1106719970703125,0.119354248046875,over_segmentation
cju5ca9hcatkc0801jzwe7tfx.jpg,0.8418314722633302,0.7268644002168357,0.8119377162629757,0.8740106155135487,0.1763916015625,0.1638641357421875,0.0125274658203125,mixed_or_reasonable
cju77bvg0yv4r0987yh60xmjo.jpg,0.6467354376428439,0.4779076136571115,0.4779512462339085,0.9998090145148968,0.1671295166015625,0.07989501953125,0.0872344970703125,over_segmentation
cju2sevf53lkx08558h5bpaig.jpg,0.7813478864597798,0.6411574540251206,0.7934675673903063,0.7695928753180662,0.2326507568359375,0.2398681640625,-0.0072174072265625,mixed_or_reasonable
cju30ywtc0oar0835bp2en7ec.jpg,0.728974234321828,0.5735322241346338,0.5842966619041434,0.9688778806805944,0.234954833984375,0.141693115234375,0.09326171875,mixed_or_reasonable
cju7d8m3b2e210755l8fj1yph.jpg,0.6298056401354543,0.4596469366562824,0.6483098013943406,0.6123284639220894,0.2604522705078125,0.2757568359375,-0.0153045654296875,mixed_or_reasonable
cju5vi4nxlc530817uoqm2m7a.jpg,0.9085363787319124,0.8324018877297565,0.939185875429132,0.8798241008138619,0.2177886962890625,0.23248291015625,-0.0146942138671875,mixed_or_reasonable
cju2saez63gxl08559ucjq3kt.jpg,0.0,0.0,0.0,0.0,0.006439208984375,0.1364898681640625,-0.1300506591796875,poor_prediction
cju1cdxvz48hw0801i0fjwcnk.jpg,0.6143464867243655,0.4433622697438069,0.4533939590776226,0.9524675915396862,0.1409454345703125,0.0670928955078125,0.0738525390625,over_segmentation
cju2yi9tz8vky0801yqip0xyl.jpg,0.6862378573836301,0.5223455868632207,0.7361120241930182,0.6426931465962576,0.2321014404296875,0.265838623046875,-0.0337371826171875,mixed_or_reasonable
cju3v3ac9gyz30755hfqwyp1i.jpg,0.6176392219557687,0.4468003084040092,0.4628594249201277,0.9279423538831064,0.15283203125,0.07623291015625,0.07659912109375,over_segmentation
cju310f6val1v0855xo8tc3gu.jpg,0.5695558526440879,0.3981671382953867,0.98687343156811,0.4002870938274827,0.2371368408203125,0.5846405029296875,-0.347503662109375,under_segmentation
cju84aoa3ktwn0755pfl4gfwd.jpg,0.7531283081349583,0.6040142807384187,0.9889506700883948,0.60811817823171,0.21405029296875,0.3480987548828125,-0.1340484619140625,mixed_or_reasonable
cjyzlw7f9faqr070129au64sq.jpg,0.837316529624222,0.7201586252478519,0.8209764918625678,0.8543202132664263,0.10125732421875,0.0973052978515625,0.0039520263671875,mixed_or_reasonable
cju85hguellg50818kwu3s8d1.jpg,0.5354792776854869,0.3656344833681977,0.62629321221297,0.4676665661742538,0.3023529052734375,0.4049072265625,-0.1025543212890625,mixed_or_reasonable
cju2tqfgw4oat0799rn0g5b2z.jpg,0.8002815060574071,0.66705773904299,0.682968682968683,0.9662539451323136,0.1778411865234375,0.125701904296875,0.0521392822265625,mixed_or_reasonable
cju1b75x63ddl0799sdp0i2j3.jpg,0.889521751939507,0.8010258224266006,0.8147148767763986,0.979455017301038,0.0848236083984375,0.070556640625,0.0142669677734375,mixed_or_reasonable
cju7fen322ou10817ziqkob4k.jpg,0.7549184609134699,0.6063204996737205,0.7209044557747728,0.7923011329029115,0.137664794921875,0.1252593994140625,0.0124053955078125,mixed_or_reasonable
cju7f5ghb2r5s0801chwkxxh9.jpg,0.8151655944722421,0.6879995978080539,0.9893009470107712,0.693157068328015,0.2110748291015625,0.3012542724609375,-0.090179443359375,mixed_or_reasonable
cju8828oxnool0801qno9luhr.jpg,0.8021635115456626,0.6696769711705454,0.7212869435091658,0.9034676663542645,0.244720458984375,0.19537353515625,0.049346923828125,mixed_or_reasonable
cju324q101fhe08350wae9cif.jpg,0.464266130506306,0.3023089740537967,0.589190443052656,0.383049313828985,0.0657806396484375,0.1011810302734375,-0.035400390625,mixed_or_reasonable
cju7avvi51iox0817ym55y6tt.jpg,0.7888005046080527,0.6512556417081357,0.9930736312701284,0.6542273374604005,0.3458709716796875,0.5250091552734375,-0.17913818359375,mixed_or_reasonable
cju2syxa93yw40799x2iuwabz.jpg,0.23770620581304,0.1348845502362485,0.1348845502362485,1.0,0.1711578369140625,0.0230865478515625,0.1480712890625,over_segmentation
cju5ufn3skquf0818dhapnhba.jpg,0.2823529411764706,0.1643835616438356,0.1643938917865895,0.99961788307222,0.2428131103515625,0.0399322509765625,0.202880859375,over_segmentation
cju7b10ce1mnm08011c5bwyr4.jpg,0.6083234244946493,0.4371155160628844,0.5569344654909645,0.670159811370186,0.2102508544921875,0.1747283935546875,0.0355224609375,mixed_or_reasonable
cju6z1bzbwfq50817b2alatvr.jpg,0.2949906111817796,0.1730140684950973,1.0,0.1730140684950973,0.074310302734375,0.42950439453125,-0.355194091796875,under_segmentation
cju2yo1j1v0qz09934o0e683p.jpg,0.7390274569431855,0.5860773583155552,0.9133420063602196,0.6205863576093896,0.21112060546875,0.3107147216796875,-0.0995941162109375,mixed_or_reasonable
cju35i2e63uxr0835h7zgkg9k.jpg,0.744213388198986,0.5926272674078409,0.6492307692307693,0.871750731623343,0.238037109375,0.177276611328125,0.060760498046875,mixed_or_reasonable
cju42wamblrqn098798r2yyok.jpg,0.9042379275653925,0.8252137487806278,0.8687851144807588,0.9427073090789904,0.2525787353515625,0.2327728271484375,0.019805908203125,mixed_or_reasonable
cju2okvco06xc0799kxe5n1qh.jpg,0.8071242397914856,0.6766205389657683,0.8181228273464658,0.7964174525109416,0.3292083740234375,0.3381805419921875,-0.00897216796875,mixed_or_reasonable
ck2bxlujamu330725szlc2jdu.jpg,0.4961759082217973,0.329942784488239,0.3300267073636017,0.999229880631498,0.1199798583984375,0.0396270751953125,0.080352783203125,over_segmentation
cju7dizi82h2i0755doucgnt3.jpg,0.4535926814104272,0.2933203147435529,0.2940295929529621,0.9918430763255,0.2650299072265625,0.0785675048828125,0.18646240234375,over_segmentation
cju5hwonqedw10801vsd3w6kk.jpg,0.7055388093443858,0.5450443894629603,0.551465174495656,0.9790849673202614,0.207244873046875,0.116729736328125,0.09051513671875,mixed_or_reasonable
