sample_id,image_name,dice,iou,precision,recall,assd,hausdorff,prediction_empty,target_empty,profile,mixed_subtype
cju34aozyyy830993bn16u32n,cju34aozyyy830993bn16u32n.jpg,0.7425123049533983,0.590481345769487,0.697354185108685,0.7939085157605957,13.868781458203555,52.49761899362675,0,0,mixed_other,high_quality
cju8c1a0ws7o208181c6lbsom,cju8c1a0ws7o208181c6lbsom.jpg,0.5905952253506048,0.4190497892218298,0.7572928821470245,0.4840308853206984,22.74574662555933,55.0,0,0,mixed_other,moderate_boundary_error
cju1expq45zst0855rjqwwj4m,cju1expq45zst0855rjqwwj4m.jpg,0.7797480429842036,0.6390140715533891,0.8259034712315739,0.7384672619047619,18.23708066037257,78.5175139698144,0,0,mixed_other,moderate_boundary_error
cju7b5afm1nfw0801xqm8bf8q,cju7b5afm1nfw0801xqm8bf8q.jpg,0.6628170960418518,0.4957189253026277,0.5361763296597988,0.867666063582321,31.816295304915936,140.92906016858268,0,0,mixed_other,moderate_boundary_error
cju2htabevq9108015qjei0x7,cju2htabevq9108015qjei0x7.jpg,0.5649146914004352,0.3936550491510277,0.9473805500076816,0.4024342491679175,33.5990829944246,86.20904824900923,0,0,mixed_other,moderate_boundary_error
cju7druhp2gp308715i6km7be,cju7druhp2gp308715i6km7be.jpg,0.6484412906356137,0.479784608481041,0.9367388066240252,0.495825990167888,22.382122648530647,83.18653737234169,0,0,mixed_other,moderate_boundary_error
cju7ehljc2or70871261br8ai,cju7ehljc2or70871261br8ai.jpg,0.6144883871705885,0.4435177539223782,0.999813838039094,0.4435390629301327,31.972834896659748,129.61867149450345,0,0,mixed_other,moderate_boundary_error
cju7d2q1k27nf08715zshsckt,cju7d2q1k27nf08715zshsckt.jpg,0.6740938387968675,0.5084152205728623,0.6876414027149321,0.6610480527424727,15.047344274442922,66.85057965343307,0,0,mixed_other,moderate_boundary_error
cju32gzs6xo8x0993r8tedbpb,cju32gzs6xo8x0993r8tedbpb.jpg,0.5543588187702265,0.3834907310248338,0.5059073287797674,0.6130186780002237,38.2730037658838,146.01369798755184,0,0,mixed_other,moderate_boundary_error
cju88itqbny720987hxizbj5y,cju88itqbny720987hxizbj5y.jpg,0.503420523138833,0.3364005736137667,0.707605279698303,0.3906586161426886,17.855189108154274,46.09772228646444,0,0,mixed_other,moderate_boundary_error
cju6x4t13vyw60755gtcf9ndu,cju6x4t13vyw60755gtcf9ndu.jpg,0.6842591614742846,0.5200658158760735,0.5471666244405033,0.9129852744310576,19.458944169517856,90.47098982546837,0,0,mixed_other,moderate_boundary_error
cju0sr5ghl0nd08789uzf1raf,cju0sr5ghl0nd08789uzf1raf.jpg,0.6435363139793647,0.4744377498061206,0.5053701938353988,0.8856220069050006,11.392001656309066,60.10823570859488,0,0,mixed_other,fp_heavy
cju8d2q30tfhs0801n7lx77xl,cju8d2q30tfhs0801n7lx77xl.jpg,0.7328974452112846,0.5784176328194675,0.678905256860839,0.7961939840392879,14.160782236170848,67.7421582177598,0,0,mixed_other,high_quality
cju2trbpkv0c00988hxla5dzz,cju2trbpkv0c00988hxla5dzz.jpg,0.5645760570706695,0.3933322979758761,0.5070074746396156,0.6368513706094392,21.633608789578627,80.45495634204272,0,0,mixed_other,moderate_boundary_error
cju32zhbnc1oy0801iyv1ix6p,cju32zhbnc1oy0801iyv1ix6p.jpg,0.4851135094901377,0.3202476293421117,0.6582163417836582,0.3840759075907591,25.912635004025788,88.76936408468859,0,0,mixed_other,fn_heavy
cju84gpefknwm098714oq8q61,cju84gpefknwm098714oq8q61.jpg,0.738997673516867,0.5860558075178722,0.6504266211604095,0.8554595443833464,18.56866135293868,106.60675400742676,0,0,mixed_other,moderate_boundary_error
cju2ti1du4idn0878giuozonw,cju2ti1du4idn0878giuozonw.jpg,0.662456205052554,0.4953129307968018,0.9994435169727324,0.4953799475934354,12.70309403769043,35.84689665786984,0,0,mixed_other,fn_heavy
cju1hmff8tkp809931jps6fbr,cju1hmff8tkp809931jps6fbr.jpg,0.7250592228978924,0.5687085775581351,0.9994613520064638,0.568866406070361,19.20527327951428,155.12897859523216,0,0,mixed_other,moderate_boundary_error
cju5f8hxdcxxn08188obby0ea,cju5f8hxdcxxn08188obby0ea.jpg,0.7926527170189216,0.6565392002793784,0.7378078696889412,0.8562806058535475,18.658928251077707,111.40017953306898,0,0,mixed_other,moderate_boundary_error
cju84kplnl1y30755ropua1b0,cju84kplnl1y30755ropua1b0.jpg,0.8182672196816618,0.6924346052315815,0.966866334352616,0.7092551622418879,15.779383448512505,67.89698078707183,0,0,mixed_other,moderate_boundary_error
cju8dk7eztzup08182yxko5zh,cju8dk7eztzup08182yxko5zh.jpg,0.7081353354875499,0.548183021921436,0.5526706231454006,0.9851891034117958,21.38586189319885,119.85407794480751,0,0,mixed_other,moderate_boundary_error
cju85l4yjlops0801fvmnwptf,cju85l4yjlops0801fvmnwptf.jpg,0.6092954910337697,0.4381310166705799,0.8364465032875075,0.479155966444102,19.7593702542274,82.97590011563598,0,0,mixed_other,moderate_boundary_error
cju7b2l561oas0871decgslaf,cju7b2l561oas0871decgslaf.jpg,0.6982469000061083,0.5364114114114115,0.5500481231953802,0.955685618729097,21.364826528838208,114.82595525402782,0,0,mixed_other,moderate_boundary_error
cju7f0ec32txj08184asb8w5f,cju7f0ec32txj08184asb8w5f.jpg,0.7027972027972028,0.5418076971292466,0.5590632682106352,0.9459281961471104,17.429149906624314,88.02272433866155,0,0,mixed_other,moderate_boundary_error
cju3y54kwj3nr0801biidlb4e,cju3y54kwj3nr0801biidlb4e.jpg,0.7082835758136405,0.5483333333333333,0.9973473544597604,0.5491223952220744,21.44488778072517,79.2464510246358,0,0,mixed_other,moderate_boundary_error
cju5hi52odyf90817prvcwg45,cju5hi52odyf90817prvcwg45.jpg,0.6720064764614969,0.5060405660028817,0.5178071833648393,0.9569591950810508,23.37347412589564,71.7007670809734,0,0,mixed_other,moderate_boundary_error
cju5o4pk9h0720755lgp9jq8m,cju5o4pk9h0720755lgp9jq8m.jpg,0.779056670186554,0.6380880996309963,0.9117574359396886,0.6800639134709932,19.99033653529436,89.30845424706443,0,0,mixed_other,moderate_boundary_error
cju2hewssldzx0835ep795xu0,cju2hewssldzx0835ep795xu0.jpg,0.1749555950266429,0.0960103795004865,0.6210526315789474,0.1016540317022743,13.763243533361347,64.89992295835181,0,0,mixed_other,fn_heavy
cju5huurrecm70801y680y13m,cju5huurrecm70801y680y13m.jpg,0.6712335129110162,0.5051726548301412,0.5060932903768035,0.9962774024541567,17.58350339236014,72.44308110509934,0,0,mixed_other,moderate_boundary_error
cju1cnnziug1l0835yh4ropyg,cju1cnnziug1l0835yh4ropyg.jpg,0.6677983278439321,0.5012931690247984,0.9734081843699216,0.5082144234477439,13.446899102460236,42.15447781671598,0,0,mixed_other,fn_heavy
cju7dn24o296i09871qfxb8s2,cju7dn24o296i09871qfxb8s2.jpg,0.62752559927812,0.457237594328836,0.5160353616829064,0.8004203783405065,23.876753338438814,103.1746092796091,0,0,mixed_other,moderate_boundary_error
cju1drnhbrb9409935wi7vkhg,cju1drnhbrb9409935wi7vkhg.jpg,0.5191074706962293,0.3505492828806835,0.8369614719009018,0.3762128966223132,17.58288922101009,167.10774967068403,0,0,mixed_other,moderate_boundary_error
cju885ikhnmkn09878s2lqtuh,cju885ikhnmkn09878s2lqtuh.jpg,0.7215109573241061,0.5643662607126748,0.590874740222936,0.926254997778765,12.9564633770005,59.64059020499378,0,0,mixed_other,high_quality
cju2upu4evw7g08358guwozxv,cju2upu4evw7g08358guwozxv.jpg,0.6877670674749081,0.5241556868090262,0.525356817491649,0.995397008055236,10.821819099348186,27.29468812791236,0,0,mixed_other,fp_heavy
cju1bm8063nmh07996rsjjemq,cju1bm8063nmh07996rsjjemq.jpg,0.6837993847430093,0.5195378151260505,0.7833214540270849,0.6066981537140403,17.573856559341458,55.02726596879042,0,0,mixed_other,moderate_boundary_error
cju2uokeg5jm20799xwgsyz89,cju2uokeg5jm20799xwgsyz89.jpg,0.7369478513809338,0.5834757834757834,0.9854038014275402,0.5885424150979547,15.378150865624685,38.63935817272331,0,0,mixed_other,moderate_boundary_error
cju34repocy5208780gswillm,cju34repocy5208780gswillm.jpg,0.7211715082658684,0.5639429726566656,0.7368786930830726,0.7061017852384759,14.708224099775965,144.55794685869054,0,0,mixed_other,high_quality
cju83mki1jv5w0817kubxm31r,cju83mki1jv5w0817kubxm31r.jpg,0.6465596402900479,0.4777278682388171,0.7343019492195929,0.5775301238898003,17.558594312873534,125.4312560727987,0,0,mixed_other,moderate_boundary_error
cju323ypb1fbb0988gx5rzudb,cju323ypb1fbb0988gx5rzudb.jpg,0.7347548922711998,0.58072957350414,0.9826834104428288,0.5867171776962236,18.97544458657116,145.71547618561317,0,0,mixed_other,moderate_boundary_error
cju858eswlepn0871pzvdrhj1,cju858eswlepn0871pzvdrhj1.jpg,0.675,0.5094464531242043,0.6895767268716393,0.661005749025309,22.66882876976389,108.78419002777932,0,0,mixed_other,moderate_boundary_error
cju8a1jtvpt9m081712iwkca7,cju8a1jtvpt9m081712iwkca7.jpg,0.8201115963124697,0.6950860119251594,0.8198059822150364,0.8204028800258879,33.434166230831536,173.80736463107655,0,0,mixed_other,moderate_boundary_error
cju7flevb2wii08188otgs9p2,cju7flevb2wii08188otgs9p2.jpg,0.7415599701441121,0.5892739010424983,0.998569661357662,0.5897623233407155,26.02935789361516,96.42613753542138,0,0,mixed_other,moderate_boundary_error
cju6wll7wvo3y08502pagos8m,cju6wll7wvo3y08502pagos8m.jpg,0.6877513551320161,0.5241172551632245,0.997970058360822,0.5246448342559862,14.94805277529372,42.95346318982906,0,0,mixed_other,fn_heavy
cju5ddda9bkkt0850enzwatb1,cju5ddda9bkkt0850enzwatb1.jpg,0.1266131344995698,0.0676565130874024,0.0961412688031393,0.1848281642917016,26.512736483107687,71.06335201775947,0,0,mixed_other,severe_mixed
cju2qdj95ru8g09886gfi9rsz,cju2qdj95ru8g09886gfi9rsz.jpg,0.7118448447542319,0.5526158603000597,0.998729916809551,0.5529887482419128,18.89645385574349,140.80127840328723,0,0,mixed_other,moderate_boundary_error
cju5ccpvqash50850kb4bs22k,cju5ccpvqash50850kb4bs22k.jpg,0.7242207057371146,0.5676808945274702,0.5749210497658718,0.9782286455438206,15.739866167519086,69.35416353759881,0,0,mixed_other,moderate_boundary_error
cju7d9seq29zd0871nzl2uu5m,cju7d9seq29zd0871nzl2uu5m.jpg,0.6832625136962506,0.5189154083455106,0.5734601408640259,0.8450452832683282,15.882317270413834,64.5600495662759,0,0,mixed_other,moderate_boundary_error
cju0roawvklrq0799vmjorwfv,cju0roawvklrq0799vmjorwfv.jpg,0.3907941140702906,0.242877654348976,0.3542838240158782,0.4356019522776572,26.384162381959644,138.2316895650198,0,0,mixed_other,hausdorff_outlier
cju2np2k9zi3v079992ypxqkn,cju2np2k9zi3v079992ypxqkn.jpg,0.7638842140693369,0.6179887456888727,0.620828013861025,0.9925645137775186,16.82152966107448,120.15406776301832,0,0,mixed_other,moderate_boundary_error
ck2bxw18mmz1k0725litqq2mc,ck2bxw18mmz1k0725litqq2mc.jpg,0.6072819376286211,0.4360536485564901,0.8608617594254937,0.4690862844844453,14.19826913866636,54.45181356024793,0,0,mixed_other,fn_heavy
cju7ejm2l2ncl0801wq6y84nw,cju7ejm2l2ncl0801wq6y84nw.jpg,0.5219036697247706,0.3531419705197828,0.5496496738342594,0.4967248908296943,23.941300842696386,73.81734213584231,0,0,mixed_other,moderate_boundary_error
cju1gv7106qd008784gk603mg,cju1gv7106qd008784gk603mg.jpg,0.6947050280645288,0.5322347847005052,0.5738278970235393,0.880059671805072,25.663384624872297,114.80853626799708,0,0,mixed_other,moderate_boundary_error
cju7db7lp2f400755tntd1ohf,cju7db7lp2f400755tntd1ohf.jpg,0.2123617242918795,0.1188190243631722,0.8388867110936887,0.1215425682967001,28.98158399135179,155.2610704587599,0,0,mixed_other,fn_heavy
cju0u2g7pmnux0801vkk47ivj,cju0u2g7pmnux0801vkk47ivj.jpg,0.7961837656349751,0.661389794555525,0.7407928895146741,0.8605162279580885,15.54683023918394,92.35799911215054,0,0,mixed_other,moderate_boundary_error
cju5hjxaae3i40850h5z2laf5,cju5hjxaae3i40850h5z2laf5.jpg,0.5762846510850023,0.4047926700340655,0.5364733359283768,0.622436997561196,25.785591781113435,124.4025723206719,0,0,mixed_other,moderate_boundary_error
cju43eigtm6ev0801mv0m96t1,cju43eigtm6ev0801mv0m96t1.jpg,0.6162102313810557,0.4453153064890108,0.8106902907426126,0.4969747776643826,19.586305474185213,87.86353054595519,0,0,mixed_other,moderate_boundary_error
cju35ldepdtlm0801yv79y8vu,cju35ldepdtlm0801yv79y8vu.jpg,0.727601915664058,0.5718744262897008,0.6016228748068007,0.9202127659574468,8.271920362250295,32.89376840679705,0,0,mixed_other,high_quality
cju3tsh4lfsok0987w6x3a0v1,cju3tsh4lfsok0987w6x3a0v1.jpg,0.474178973223762,0.3107834174649231,0.9763956538029224,0.3131082542352517,23.07486217765986,86.12200647918046,0,0,mixed_other,fn_heavy
cju8cattbsivm0818p446wgel,cju8cattbsivm0818p446wgel.jpg,0.5483191530637697,0.3777251727692718,1.0,0.3777014127529591,27.309555424884977,62.96824596572466,0,0,mixed_other,moderate_boundary_error
cju6wt9jvvn500871hjn3t3g0,cju6wt9jvvn500871hjn3t3g0.jpg,0.3760555706891855,0.2315907184791724,0.4284088557831574,0.3350594708309733,25.959166963904032,68.6804193347711,0,0,mixed_other,severe_mixed
cju2nbdpmlmcj0993s1cht0dz,cju2nbdpmlmcj0993s1cht0dz.jpg,0.7385771543086173,0.5855221351408599,0.8589185829707893,0.6477998476592254,18.492356416621064,84.38009243891595,0,0,mixed_other,moderate_boundary_error
cju7epwj82koz098713apjnzo,cju7epwj82koz098713apjnzo.jpg,0.6423073871300484,0.4731182795698925,0.5237478969845994,0.8301538461538461,26.036038936246577,93.38094023943002,0,0,mixed_other,moderate_boundary_error
cju5boicjagt20871b1fotkh4,cju5boicjagt20871b1fotkh4.jpg,0.6830387386832543,0.518658810325477,0.9710182996235006,0.5267908037241117,20.99785963456003,112.307613277106,0,0,mixed_other,moderate_boundary_error
cju5ekty5ckzf07550c9u3ckk,cju5ekty5ckzf07550c9u3ckk.jpg,0.6731803226065324,0.5073787347284384,0.565152944347123,0.8322254191884115,17.977101758416786,82.49242389456137,0,0,mixed_other,moderate_boundary_error
cju2i6acqvo6l0799u20fift8,cju2i6acqvo6l0799u20fift8.jpg,0.77488992433634,0.6325191905094208,0.6419464513387165,0.9772482208324348,17.11905610303361,84.970583144992,0,0,mixed_other,moderate_boundary_error
cju3yht87j83m08507yk1u1fg,cju3yht87j83m08507yk1u1fg.jpg,0.7847834867456049,0.6458034496029108,0.9987554785996428,0.6463111453482264,15.767740899736223,67.47592163134935,0,0,mixed_other,moderate_boundary_error
cju7ecl9i2i060987xawjp4l0,cju7ecl9i2i060987xawjp4l0.jpg,0.6249652558433354,0.4545187254217354,0.5208271911721349,0.7811256395679363,24.589495382600155,117.65202930676548,0,0,mixed_other,moderate_boundary_error
